"code","labels","SBI1","SBI2","SBI3","SBI4"
"01","Landbouw, jacht en dienstverlening voor de landbouw en jacht ","A","01",,
"02","Bosbouw, exploitatie van bossen en dienstverlening voor de bosbouw","A","02",,
"03","Visserij en kweken van vis en schaaldieren ","A","03",,
"06","Winning van aardolie en aardgas","B","06",,
"08","Winning van delfstoffen (geen olie en gas)","B","08",,
"09","Dienstverlening voor de winning van delfstoffen ","B","09",,
"10","Vervaardiging van voedingsmiddelen","C","10",,
"11","Vervaardiging van dranken","C","11",,
"12","Vervaardiging van tabaksproducten","C","12",,
"13","Vervaardiging van textiel","C","13",,
"14","Vervaardiging van kleding","C","14",,
"15","Vervaardiging van leer, lederwaren en schoenen","C","15",,
"16","Primaire houtbewerking en vervaardiging van artikelen van hout, kurk, riet en vlechtwerk ( geen ","C","16",,
"17","Vervaardiging van papier, karton en papier- en kartonwaren ","C","17",,
"18","Drukkerijen, reproductie van opgenomen media","C","18",,
"19","Vervaardiging van cokesovenproducten en aardolieverwerking","C","19",,
"20","Vervaardiging van chemische producten","C","20",,
"21","Vervaardiging van farmaceutische grondstoffen en producten","C","21",,
"22","Vervaardiging van producten van rubber en kunststof","C","22",,
"23","Vervaardiging van overige niet-metaalhoudende minerale producten","C","23",,
"24","Vervaardiging van metalen in primaire vorm","C","24",,
"25","Vervaardiging van producten van metaal (geen machines en apparaten)","C","25",,
"26","Vervaardiging van computers en van elektronische en optische apparatuur","C","26",,
"27","Vervaardiging van elektrische apparatuur","C","27",,
"28","Vervaardiging van overige machines en apparaten","C","28",,
"29","Vervaardiging van auto's, aanhangwagens en opleggers","C","29",,
"30","Vervaardiging van overige transportmiddelen","C","30",,
"31","Vervaardiging van meubels","C","31",,
"32","Vervaardiging van overige goederen","C","32",,
"33","Reparatie en installatie van machines en apparaten","C","33",,
"35","Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht","D","35",,
"36","Winning en distributie van water","E","36",,
"37","Afvalwaterinzameling en -behandeling","E","37",,
"38","Afvalinzameling en -behandeling; voorbereiding tot recycling","E","38",,
"39","Sanering en overig afvalbeheer","E","39",,
"41","Algemene burgerlijke en utiliteitsbouw en projectontwikkeling","F","41",,
"42","Grond-, water- en wegenbouw (geen grondverzet) ","F","42",,
"43","Gespecialiseerde werkzaamheden in de bouw","F","43",,
"45","Handel in en reparatie van auto's, motorfietsen en aanhangers","G","45",,
"46","Groothandel en handelsbemiddeling (niet in auto's en motorfietsen)","G","46",,
"47","Detailhandel (niet in auto's)","G","47",,
"49","Vervoer over land","H","49",,
"50","Vervoer over water","H","50",,
"51","Luchtvaart","H","51",,
"52","Opslag en dienstverlening voor vervoer","H","52",,
"53","Post en koeriers","H","53",,
"55","Logiesverstrekking","I","55",,
"56","Eet- en drinkgelegenheden","I","56",,
"58","Uitgeverijen","J","58",,
"59","Productie en distributie van films en televisieprogramma´s; maken en uitgeven van geluidsopnamen","J","59",,
"60","Verzorgen en uitzenden van radio- en televisieprogramma's","J","60",,
"61","Telecommunicatie","J","61",,
"62","Dienstverlenende activiteiten op het gebied van informatietechnologie","J","62",,
"63","Dienstverlenende activiteiten op het gebied van informatie","J","63",,
"64","Financiële instellingen (geen verzekeringen en pensioenfondsen)","K","64",,
"65","Verzekeringen en pensioenfondsen (geen verplichte sociale verzekeringen)","K","65",,
"66","Overige financiële dienstverlening","K","66",,
"68","Verhuur van en handel in onroerend goed","L","68",,
"69","Rechtskundige dienstverlening, accountancy, belastingadvisering en administratie ","M","69",,
"70","Holdings (geen financiële), concerndiensten binnen eigen concern en managementadvisering","M","70",,
"71","Architecten, ingenieurs en technisch ontwerp en advies; keuring en controle","M","71",,
"72","Speur- en ontwikkelingswerk ","M","72",,
"73","Reclame en marktonderzoek","M","73",,
"74","Industrieel ontwerp en vormgeving, fotografie, vertaling en overige consultancy","M","74",,
"75","Veterinaire dienstverlening","M","75",,
"77","Verhuur en lease van auto's, consumentenartikelen, machines en overige roerende goederen","N","77",,
"78","Arbeidsbemiddeling, uitzendbureaus en personeelsbeheer","N","78",,
"79","Reisbemiddeling, reisorganisatie, toeristische informatie en reserveringsbureaus","N","79",,
"80","Beveiliging en opsporing","N","80",,
"81","Facility management, reiniging en landschapsverzorging","N","81",,
"82","Overige zakelijke dienstverlening","N","82",,
"84","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen","O","84",,
"85","Onderwijs","P","85",,
"86"," Gezondheidszorg","Q","86",,
"87","Verpleging, verzorging en begeleiding met overnachting","Q","87",,
"88","Maatschappelijke dienstverlening zonder overnachting","Q","88",,
"90","Kunst","R","90",,
"91","Culturele uitleencentra, openbare archieven, musea, dieren- en plantentuinen, natuurbehoud","R","91",,
"92","Loterijen en kansspelen","R","92",,
"93","Sport en recreatie","R","93",,
"94","Levensbeschouwelijke en politieke organisaties, belangen- en ideële organisaties, hobbyclubs ","S","94",,
"95","Reparatie van computers en consumentenartikelen","S","95",,
"96","Wellness en overige dienstverlening; uitvaartbranche","S","96",,
"97","Huishoudens als werkgever van huishoudelijk personeel","T","97",,
"98","Niet-gespecificeerde productie van goederen en diensten door particuliere huishoudens voor eigen ","T","98",,
"99","Extraterritoriale organisaties en lichamen","U","99",,
